dataset,scaler,model,tuning_method,best_params,Accuracy,ROC-AUC,F1-Score,Precision,Recall,MCC,Kappa,Log Loss
toddler,QuantileTransformer,DecisionTree,GridSearch,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9146919431279621,0.9516859852476292,0.9379310344827586,0.9444444444444444,0.9315068493150684,0.8017829940436688,0.8015881308118273,0.6881113934308113
toddler,QuantileTransformer,KNN,GridSearch,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.919431279620853,0.9891991570073762,0.9381818181818182,1.0,0.8835616438356164,0.8368896162993635,0.8237952547035418,0.32208595629983555
toddler,QuantileTransformer,LDA,GridSearch,{'solver': 'svd'},0.9241706161137441,0.9929399367755531,0.9424460431654677,0.9924242424242424,0.8972602739726028,0.8412788105527481,0.832156706771403,0.16961884424091228
toddler,QuantileTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.8293838862559242,0.939936775553214,0.8646616541353384,0.9583333333333334,0.7876712328767124,0.6625787887289779,0.639760978848525,1.4061630205838107
toddler,QuantileTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 0.16994636371262764, 'penalty': 'l2', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008760602050264136
toddler,QuantileTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38401836051287414
toddler,QuantileTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 15, 'min_samples_leaf': 8, 'min_samples_split': 19, 'n_estimators': 226})",0.9715639810426541,0.9954689146469968,0.9794520547945206,0.9794520547945206,0.9794520547945206,0.9332982086406744,0.9332982086406744,0.19090465651726615
toddler,QuantileTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 27.364528220782454, 'gamma': 0.00032780432870046914})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.009766218910413852
toddler,PowerTransformer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.933649289099526,0.948840885142255,0.952054794520548,0.952054794520548,0.952054794520548,0.8443624868282402,0.8443624868282402,1.1186366124587743
toddler,PowerTransformer,KNN,GridSearch,"{'metric': 'manhattan', 'n_neighbors': 11, 'weights': 'distance'}",0.9146919431279621,0.9868282402528978,0.935251798561151,0.9848484848484849,0.8904109589041096,0.820068411577168,0.8111762951178284,0.17542835632203915
toddler,PowerTransformer,LDA,GridSearch,{'solver': 'svd'},0.919431279620853,0.9920969441517387,0.9386281588447654,0.9923664122137404,0.8904109589041096,0.8326712943335142,0.8223817776677396,0.17433130057198287
toddler,PowerTransformer,GaussianNB,GridSearch,{'var_smoothing': 1e-05},0.7156398104265402,0.9442044257112749,0.7478991596638656,0.967391304347826,0.6095890410958904,0.5245775295633182,0.4579087094287916,2.659808690255947
toddler,PowerTransformer,LogisticRegression,BayesianOptimization,"OrderedDict({'C': 2.7364528220782454, 'penalty': 'l1', 'solver': 'saga'})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008411271491886313
toddler,PowerTransformer,AdaBoost,BayesianOptimization,"OrderedDict({'learning_rate': 0.8449980838885723, 'n_estimators': 271})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3838244741900973
toddler,PowerTransformer,RandomForest,BayesianOptimization,"OrderedDict({'max_depth': 25, 'min_samples_leaf': 3, 'min_samples_split': 13, 'n_estimators': 421})",0.95260663507109,0.9961011591148577,0.9657534246575342,0.9657534246575342,0.9657534246575342,0.8888303477344573,0.8888303477344573,0.16748264918671318
toddler,PowerTransformer,SVM,BayesianOptimization,"OrderedDict({'C': 25.041499136197736, 'gamma': 0.002061045404501547})",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01030231466153358
toddler,Normalizer,DecisionTree,GridSearch,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9241706161137441,0.971022128556375,0.9440559440559441,0.9642857142857143,0.9246575342465754,0.8283230561980817,0.8265694030617488,0.6318290239832978
toddler,Normalizer,KNN,GridSearch,"{'metric': 'euclidean', 'n_neighbors': 11, 'weights': 'distance'}",0.9241706161137441,0.9834562697576397,0.9428571428571428,0.9850746268656716,0.9041095890410958,0.8375656819031924,0.830793905372895,0.17117311979807823
toddler,Normalizer,LDA,GridSearch,{'solver': 'lsqr'},0.9146919431279621,0.9906217070600633,0.935251798561151,0.9848484848484849,0.8904109589041096,0.820068411577168,0.8111762951178284,0.17763866777946288
toddler,Normalizer,GaussianNB,GridSearch,{'var_smoothing': 1e-09},0.5071090047393365,0.8833508956796627,0.47474747474747475,0.9038461538461539,0.3219178082191781,0.26247601089810196,0.17485147025644876,9.356961889779429
